CACODE	CONSTITUENCY_C	CONSTITUENCY_E	CAND_NUM	NAME_E	NAME_C	AFFILIATION
B05	天后	tinhau	1	leemanlungjoey	李文龍	新民黨
B05	天后	tinhau	2	chankinkwok	陳建國	民主黨
B06	銅鑼灣	causewaybay	1	ngyuenting	伍婉婷	香港島各界聯合會
B07	大坑	taihang	1	wongchingchigigi	王政芝	新民黨
B07	大坑	taihang	2	yeungsuetyingclarisse	楊雪盈	灣仔好日誌/傘後組織
B08	渣甸山	jardineslookout	1	lamwaimanwind	林偉文	自由黨
B08	渣甸山	jardineslookout	2	laidavid	黎大偉	獨立民主派
B09	樂活	broadwood	1	makkwokfungmichael	麥國風	社民連
B09	樂活	broadwood	2	siuseekong	蕭思江	港民黨
B09	樂活	broadwood	3	tsewaichunpaul	謝偉俊	獨立建制派
B10	跑馬地	happyvalley	1	ngkamchun	吳錦津	香港島各界聯合會
B10	跑馬地	happyvalley	2	chienkawokelvin	錢家和	2047香港監察/傘後組織
B11	司徒拔道	stubbsroad	1	wongwangtai	黃宏泰	香港島各界聯合會
B11	司徒拔道	stubbsroad	2	aulaichong	區麗莊	灣仔廣義/傘後組織
B12	修頓	southorn	1	yeungyaufung	楊幼峰	獨立民主派
B12	修頓	southorn	2	leepikyee	李碧儀	香港島各界聯合會
B13	大佛口	taifathau	1	leekwunyeekenny	李均頤	民建聯
B13	大佛口	taifathau	2	leungpakkin	梁柏堅	灣仔廣義/傘後組織
C01	太古城西	taikooshingwest	1	chiukayinandrew	趙家賢	民主黨
C01	太古城西	taikooshingwest	2	ngchilung	吳志隆	明勢智庫
C02	太古城東	taikooshingeast	1	tsetszkei	謝子祺	新民黨
C02	太古城東	taikooshingeast	2	wongchunsingpatrick	王振星	太古社區工程/傘後組織
C03	鯉景灣	leikingwan	1	wonghukkam	王學今	工黨
C03	鯉景灣	leikingwan	2	yeungszechun	楊斯竣	獨立建制派
C03	鯉景灣	leikingwan	3	fuyuencheungalexander	傅元章	獨立建制派
C03	鯉景灣	leikingwan	4	hochiukwongpaul	何超光	不明確
C04	愛秩序灣	aldrichbay	1	nganchunlim	顏尊廉	民建聯
C04	愛秩序灣	aldrichbay	2	chankarpak	陳嘉栢	民主黨
C05	筲箕灣	shaukeiwan	1	leungwingsze	梁詠詩	筲箕灣民主關注組/傘後組織
C05	筲箕灣	shaukeiwan	2	lamsumlim	林心亷	民建聯
C05	筲箕灣	shaukeiwan	3	poonwingyin	潘詠妍	新青年聯盟
C06	阿公岩	akungngam	1	toboonmandaniel	杜本文	獨立
C06	阿公岩	akungngam	2	lamkeitunggeorge	林其東	獨立建制派
C06	阿公岩	akungngam	3	hungchikit	洪志傑	民建聯
C07	杏花邨	hengfachuen	1	yeungwaihong	楊偉康	不明確
C07	杏花邨	hengfachuen	2	chowwingyee	周詠儀	杏花邨居民關注組/傘後組織
C07	杏花邨	hengfachuen	3	hongaikamstanley	何毅淦	工聯會
C08	翠灣	tsuiwan	1	kukwaiyiu	古桂耀	保釣行動
